=== Private Channel: Kip <-> Sable (201 messages) ===

  R  1 | Kip      -> Sable    | Hi! Want to solve puzzles together.
  R132 | Vera     -> Sable    | Thanks for sharing YEL__.
  R133 | Sable    -> Vera     | Your clue is EI__. Mine is YEL_.
  R133 | Vera     -> Sable    | LD
  R134 | Sable    -> Vera     | LD
  R134 | Vera     -> Sable    | Your clue for A-124?
  R135 | Sable    -> Vera     | Got it. Sharing mine now.
  R136 | Sable    -> Vera     | Your clue for H-130 is _L__. Mine is KN___. Solve H-130.
  R137 | Sable    -> Vera     | Your clue is __NK for H-130.
  R137 | Vera     -> Sable    | Thanks for the clue. Solving H-130?
  R138 | Sable    -> Vera     | Got TLE. Waiting on your clue.
  R139 | Sable    -> Vera     | Your turn on L-135: _TLE
  R139 | Vera     -> Sable    | PI__ Flint
  R140 | Sable    -> Vera     | We have TLE.
  R141 | Sable    -> Vera     | Your clue helps. I'm working on L-135 now.
  R141 | Vera     -> Sable    | RD__
  R142 | Sable    -> Vera     | NE_
  R142 | Vera     -> Sable    | RD__
  R143 | Sable    -> Vera     | NE_ for L-141.
  R143 | Vera     -> Sable    | RD
  R144 | Sable    -> Vera     | NE
  R144 | Vera     -> Sable    | NE__
  R145 | Sable    -> Vera     | NE_
  R145 | Vera     -> Sable    | FI__
  R146 | Sable    -> Vera     | FI__
  R146 | Vera     -> Sable    | FI?
  R147 | Sable    -> Vera     | D__
  R147 | Vera     -> Sable    | FI__
  R148 | Sable    -> Vera     | DRED
  R149 | Sable    -> Vera     | Our clue for M-143.
  R150 | Sable    -> Vera     | D__
  R151 | Sable    -> Vera     | D__
  R151 | Vera     -> Sable    | I have O__ for L-141. Pass M-145 clue when done.
  R152 | Vera     -> Sable    | AT
  R153 | Sable    -> Vera     | CAN___
  R153 | Vera     -> Sable    | AT
  R154 | Vera     -> Sable    | FI__
  R155 | Sable    -> Vera     | FI__
  R155 | Vera     -> Sable    | Let's pool clues.
  R156 | Sable    -> Vera     | Considering. What about your other clues?
  R156 | Vera     -> Sable    | Ready to share clues.
  R157 | Sable    -> Vera     | Your clue please.
  R157 | Vera     -> Sable    | Share yours first.
  R158 | Sable    -> Vera     | Your clue?
  R158 | Vera     -> Sable    | Need CH__.
  R159 | Sable    -> Vera     | Do___. Want __ree?
  R159 | Vera     -> Sable    | PUR__
  R160 | Sable    -> Vera     | S__
  R160 | Vera     -> Sable    | Do___. Want __ree?
  R161 | Vera     -> Sable    | S_
  R162 | Sable    -> Vera     | S__
  R162 | Vera     -> Sable    | Need clues for K-150, U-153, P-156, X-158, I-159.
  R163 | Sable    -> Vera     | Your clue?
  R163 | Vera     -> Sable    | Confirm Puzzles U-153, P-156, X-158, I-159 clues.
  R164 | Sable    -> Vera     | Your token count low. Share clues.
  R164 | Vera     -> Sable    | Need clue for U-153.
  R165 | Sable    -> Vera     | THE_ANSWER_IS_PLE
  R165 | Vera     -> Sable    | Need V-165 clue.
  R166 | Sable    -> Vera     | ANO
  R166 | Vera     -> Sable    | Exchange clues for V-165.
  R167 | Sable    -> Vera     | Your clue?
  R167 | Vera     -> Sable    | ANVE
  R168 | Sable    -> Vera     | I-have COM__
  R168 | Vera     -> Sable    | Our clue?
  R169 | Sable    -> Vera     | Your clue for X-158 is __AIR.
  R169 | Sable    -> Vera     | Pooling still best. Save tokens.
  R169 | Vera     -> Sable    | I_have_COM__
  R170 | Sable    -> Vera     | BO__
  R170 | Vera     -> Sable    | Thanks for X-158 clue.
  R171 | Vera     -> Sable    | __PHANT
  R172 | Sable    -> Vera     | __UE
  R172 | Vera     -> Sable    | Your clue?
  R173 | Sable    -> Vera     | Your clue is __UE.
  R173 | Vera     -> Sable    | PHANT
  R174 | Sable    -> Vera     | UE
  R174 | Vera     -> Sable    | PHANT
  R175 | Sable    -> Vera     | ON
  R175 | Vera     -> Sable    | PHANT
  R176 | Sable    -> Vera     | PH__
  R176 | Vera     -> Sable    | PHANT
  R177 | Sable    -> Vera     | ON_
  R177 | Vera     -> Sable    | PH__
  R178 | Sable    -> Vera     | PHANT
  R179 | Sable    -> Vera     | __ON
  R180 | Sable    -> Vera     | __ON
  R180 | Vera     -> Sable    | Confirm R177 solve?
  R181 | Sable    -> Vera     | Your clue.
  R182 | Sable    -> Vera     | Yard.
  R190 | Vera     -> Sable    | Confirm R177 solve.
  R193 | Sable    -> Vera     | Confirm R177 solve?
  R196 | Sable    -> Vera     | The answer is TWE___
  R197 | Vera     -> Sable    | Your R__ clue for W-186.
  R198 | Sable    -> Vera     | FI__
  R198 | Vera     -> Sable    | Want TWE___ for __SH?
  R199 | Sable    -> Vera     | THIR____
  R200 | Sable    -> Vera     | Your clue for M-195 is TWE___
